m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
2079,42,29,-9535528.523079664,4612216.165721086,-85.65911014440108,38.23174945195093
2080,42,30,-9535528.523079664,4611906.029703467,-85.65911014440108,38.22956097735423
2081,42,31,-9535528.523079664,4611595.8936858475,-85.65911014440108,38.22737243690592
2082,42,32,-9535528.523079664,4611285.757668229,-85.65911014440108,38.22518383060722
2083,42,33,-9535528.523079664,4610975.621650609,-85.65911014440108,38.222995158459334
2084,42,34,-9535528.523079664,4610665.4856329905,-85.65911014440108,38.22080642046348
2085,42,35,-9535528.523079664,4610355.349615371,-85.65911014440108,38.21861761662087
2086,42,36,-9535528.523079664,4610045.213597751,-85.65911014440108,38.21642874693271
2087,42,37,-9535528.523079664,4609735.0775801325,-85.65911014440108,38.21423981140023
2088,42,38,-9535528.523079664,4609424.941562513,-85.65911014440108,38.212050810024635
2089,42,39,-9535528.523079664,4609114.805544894,-85.65911014440108,38.20986174280714
2090,42,40,-9535528.523079664,4608804.669527275,-85.65911014440108,38.207672609748954
2091,42,41,-9535528.523079664,4608494.533509656,-85.65911014440108,38.2054834108513
2092,42,42,-9535528.523079664,4608184.397492036,-85.65911014440108,38.2032941461154
2093,42,43,-9535528.523079664,4607874.261474417,-85.65911014440108,38.20110481554245
2094,42,44,-9535528.523079664,4607564.125456798,-85.65911014440108,38.198915419133684
2095,42,45,-9535528.523079664,4607253.989439178,-85.65911014440108,38.19672595689031
2096,42,46,-9535528.523079664,4606943.85342156,-85.65911014440108,38.194536428813564
2097,42,47,-9535528.523079664,4606633.71740394,-85.65911014440108,38.19234683490464
2098,42,48,-9535528.523079664,4606323.581386321,-85.65911014440108,38.19015717516478
2099,42,49,-9535528.523079664,4606013.445368702,-85.65911014440108,38.18796744959518
2100,42,50,-9535528.523079664,4605703.309351083,-85.65911014440108,38.18577765819707
2101,43,1,-9535023.81176091,4620899.974214424,-85.65457624548404,38.29300000000001
2102,43,2,-9535023.81176091,4620589.838196805,-85.65457624548404,38.290813369738544
2103,43,3,-9535023.81176091,4620279.702179186,-85.65457624548404,38.288626673591715
2104,43,4,-9535023.81176091,4619969.566161566,-85.65457624548404,38.28643991156072
2105,43,5,-9535023.81176091,4619659.430143948,-85.65457624548404,38.28425308364677
2106,43,6,-9535023.81176091,4619349.294126328,-85.65457624548404,38.28206618985104
2107,43,7,-9535023.81176091,4619039.158108709,-85.65457624548404,38.27987923017476
2108,43,8,-9535023.81176091,4618729.02209109,-85.65457624548404,38.2776922046191
2109,43,9,-9535023.81176091,4618418.886073471,-85.65457624548404,38.275505113185304
2110,43,10,-9535023.81176091,4618108.750055851,-85.65457624548404,38.273317955874546
